problem,model_type,seed,sample_count,x1,x2,x3,f_real,g_real,feasible_real
QuickSimu1,kriging,2028,1300,1.5882732058307822,0.01,0.01,0.00134558634,0.18455389201759115,False
QuickSimu1,rbf,2026,1300,0.8412608805277747,0.01,0.01,0.00138293696,0.14841267719445622,False
QuickSimu1,rbf,2027,1300,1.3428687083169366,0.01,0.01,0.00135785656,0.17550261436811404,False
QuickSimu1,rbf,2028,1300,0.5997147199130092,0.01,0.01,0.00139501426,0.1567213365039467,False
QuickSimu1,polynomial,2026,1300,1.59999920387753,0.010149661010994055,0.07522440171215215,0.0037467539,0.11460911244469237,False
QuickSimu1,polynomial,2027,1300,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,1300,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,1300,0.40542425006192745,0.01,0.010000122529747671,0.00140473998,0.12711492187439866,False
QuickSimu1,kan,2027,1300,1.5999979887807692,0.01,0.01,0.0013450001,0.18501044358455204,False
QuickSimu1,kan,2028,1300,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan_gp,2026,1300,0.699855544049822,0.01,0.01,0.00139000722,0.15376672093479588,False
QuickSimu1,kan_gp,2027,1300,1.1681927448568992,0.010000045814035793,0.01,0.00136659998,0.16949239282865847,False
QuickSimu1,kan_gp,2028,1300,0.866970418669595,0.01,0.010000138665640031,0.00138166159,0.09641740790332586,False
QuickSimu1,kriging,2026,1400,1.2213059221925793,0.01,0.01,0.0013639347,0.1697880760280559,False
QuickSimu1,kriging,2027,1400,1.3469924254075818,0.01,0.01,0.00135765038,0.17038630969974583,False
QuickSimu1,kriging,2028,1400,0.9966244092787052,0.01,0.01,0.00137516878,0.14936776926922668,False
QuickSimu1,rbf,2026,1400,1.2393909941271821,0.010000426551232296,0.010000006301291435,0.00136312128,0.12405092628633728,False
QuickSimu1,rbf,2027,1400,1.3472123348739384,0.01,0.01,0.00135763938,0.17341124839332095,False
QuickSimu1,rbf,2028,1400,0.5936299853500758,0.01,0.01,0.0013953185,0.15741362971527512,False
QuickSimu1,polynomial,2026,1400,1.6,0.010059557383259844,0.06207926353686026,0.00331507718,0.081604963349693,False
QuickSimu1,polynomial,2027,1400,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,1400,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,1400,0.7685532616116532,0.01,0.01,0.00138657234,0.14973453629993266,False
QuickSimu1,kan,2027,1400,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2028,1400,0.4000000000000001,0.01,0.01,0.001405,0.19225160692690357,False
QuickSimu1,kan_gp,2026,1400,1.2196997615710925,0.01,0.01,0.00136401501,0.16773148870797838,False
QuickSimu1,kan_gp,2027,1400,0.8195423488410964,0.01,0.010000009074370621,0.00138402356,0.09559516331259789,False
QuickSimu1,kan_gp,2028,1400,1.5999857726831601,0.010000000012320688,0.01,0.00134500071,0.1914152500767532,False
QuickSimu1,kriging,2026,1500,1.4355820827005346,0.01,0.01,0.0013532209,0.1781002657105369,False
QuickSimu1,kriging,2027,1500,1.3463987825293335,0.01,0.01,0.00135768006,0.17334769296268282,False
QuickSimu1,kriging,2028,1500,1.5935284599205175,0.01,0.01,0.00134532358,0.1863647943590928,False
QuickSimu1,rbf,2026,1500,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2027,1500,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2028,1500,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,polynomial,2026,1500,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2027,1500,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,1500,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,1500,0.4,0.01,0.010000004403532221,0.0014050004,0.12356206371019939,False
QuickSimu1,kan,2027,1500,0.4,0.01,0.010000028067821574,0.00140500257,0.125738528411243,False
QuickSimu1,kan,2028,1500,0.4005526770576131,0.01,0.01,0.00140497237,0.18793707569899248,False
QuickSimu1,kan_gp,2026,1500,0.9417197425225285,0.01,0.01,0.00137791401,0.153725356951038,False
QuickSimu1,kan_gp,2027,1500,0.8253926435424159,0.01,0.01,0.00138373037,0.14682239501537653,False
QuickSimu1,kan_gp,2028,1500,0.8197418296589426,0.01,0.01,0.00138401291,0.14704513733225177,False
